id,pattern_name,image_url,created_at
e1f56aa1-05c1-48f9-be12-7d09beba9639,A039,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960220865_A039.jpg,2026-01-21 01:50:20.482514+00
e2050e50-b172-44f3-8a31-8c5949608ca6,A034,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960218533_A034.jpg,2026-01-21 01:50:18.129273+00
e5c5a59f-aec4-43f8-9253-138a4c4ba221,C022,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961805010_C022.jpg,2026-01-21 02:16:44.527432+00
eaa173ac-319f-483f-ab1e-ca65e183f5c0,B036,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961332047_B036.jpg,2026-01-21 02:08:51.574333+00
eaa4e703-1fc3-4da3-9cb7-37c4b923b446,A020,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960211845_A020.jpg,2026-01-21 01:50:11.733652+00
eae18ecc-9637-4763-bca7-7a1943224d33,A010,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960207874_A010.jpg,2026-01-21 01:50:07.818858+00
eda9cd5a-171d-484f-a889-24c66ff7cd77,A009,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960207311_A009.jpg,2026-01-21 01:50:06.997094+00
ef0d1b66-57dc-4bd7-a4f3-bf63e47c1889,A022,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960213229_A022.jpg,2026-01-21 01:50:12.874919+00
f31183b5-b4c9-415f-a016-9a995b9c4fdc,L006,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962119708_L006.jpg,2026-01-21 02:21:59.135276+00
f39d1baa-cafc-4ae3-ab16-7512295fdbc1,A019,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960210612_A019.jpg,2026-01-21 01:50:10.576826+00
f7e2ed6b-4913-4262-b8ab-c6c62e280a9c,C011,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961798919_C011.jpg,2026-01-21 02:16:38.484251+00
fe2e5664-f5c7-40eb-8fac-0824a52c10fb,A007,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960205752_A007.jpg,2026-01-21 01:50:05.779411+00
