product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000280,กระบอกน้ำ BTJ03 สีม่วง,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000280-1768884639629.jpg,8061,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000281,ไม้บรรทัด RL18CM1 (ขาว),FINISHPRODUCT,FIBERLASER,4KBแถว08ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000281-1768884639996.jpg,8062,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000282,ไม้บรรทัด RL18CM2 (ดำ),FINISHPRODUCT,FIBERLASER,4KBแถว08ชั้น4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000282-1768884640299.jpg,8063,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000283,ไม้บรรทัด RL30CM1 (ม่วง),FINISHPRODUCT,FIBERLASER,ไม่มี,,true,,8064,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000284,ไม้บรรทัด RL30CM2 (เขียว),FINISHPRODUCT,FIBERLASER,4KBแถว10ชั้น4,,true,,8065,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000285,ไม้บรรทัด RL30CM3 (ชมพู),FINISHPRODUCT,FIBERLASER,4KBแถว10ชั้น3,,true,,8066,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000286,ไม้บรรทัด RL30CM4 (ฟ้า),FINISHPRODUCT,FIBERLASER,ไม่มี,,true,,8067,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000287,ไม้บรรทัดเรขาคณิต RLD1 สีชมพู,FINISHPRODUCT,FIBERLASER,4KBแถว07ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000287-1768884640633.jpg,8068,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000288,ไม้บรรทัดเรขาคณิต RLD2 สีน้ำเงิน,FINISHPRODUCT,FIBERLASER,4KBแถว07ชั้น4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000288-1768884640970.jpg,8069,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000289,ไม้บรรทัดเรขาคณิต RLD3 สีแดง,FINISHPRODUCT,FIBERLASER,4KBแถว07ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000289-1768884641290.jpg,8070,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
